"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"CART 3 (rpart2)",0.921259842519685,0.952755905511811,0.960629921259842,0.958599690848921,0.96751968503937,0.984189723320158,0,"00:00:01",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 1 (C5.0)",0.964426877470356,0.976237345331833,0.980314960629921,0.979366190886218,0.984174038521865,0.992125984251969,0,"00:00:57",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 2 (C5.0Rules)",0.948818897637795,0.965488688913886,0.97244094488189,0.971480738820691,0.980237154150198,0.988142292490119,0,"00:00:05",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 3 (C5.0Tree)",0.952569169960474,0.964566929133858,0.968503937007874,0.968456734410175,0.97244094488189,0.984189723320158,0,"00:00:05",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 1 (rf)",0.956692913385827,0.976377952755906,0.980314960629921,0.981205585467824,0.988142292490119,0.996062992125984,0,"00:01:40",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 2 (cforest)",0.948616600790514,0.97235924807818,0.976377952755906,0.974637117165361,0.980237154150198,0.988188976377953,0,"00:19:54",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 3 (parRF)",0.952569169960474,0.97244094488189,0.980314960629921,0.980013590198458,0.988188976377953,0.996062992125984,0,"00:01:40",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 1 (knn)",0.948818897637795,0.968503937007874,0.976284584980237,0.973186330957642,0.98029550900999,0.988188976377953,0,"00:00:03",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 2 (kknn)",0.960629921259842,0.964566929133858,0.974362764931064,0.974766819332037,0.980237154150198,0.996062992125984,0,"00:00:43",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Naive Bayes 1 (nb)",0.877470355731225,0.913385826771654,0.920948616600791,0.919026722450208,0.925196850393701,0.948818897637795,0,"00:00:23",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Naive Bayes 2 (naive_bayes)",0.877470355731225,0.906496062992126,0.921104229560238,0.918248600018542,0.929133858267717,0.94488188976378,0,"00:00:02",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.960629921259842,0.969488188976378,0.976377952755906,0.975712860933072,0.983221032647599,0.992125984251969,0,"00:00:40",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"RNA 2 (mlp)",0.948818897637795,0.964461890386231,0.97244094488189,0.972035171376654,0.98029550900999,0.992125984251969,0,"00:00:42",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"RNA 3 (mlpML)",0.960474308300395,0.968503937007874,0.97244094488189,0.972818958255654,0.976377952755906,0.992094861660079,0,"00:00:43",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"SVM 1 (svmRadial)",0.94488188976378,0.976307926924154,0.980314960629921,0.978863520925265,0.984251968503937,0.992125984251969,0,"00:00:20",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"SVM 2 (svmRadialWeights)",0.968379446640316,0.976307926924154,0.982290940091452,0.980962796704585,0.988188976377953,0.992125984251969,0,"00:00:53",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"SVM 3 (svmPoly)",0.952569169960474,0.968503937007874,0.976331268868071,0.976230545583104,0.984251968503937,1,0,"00:03:43",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"CART 1 (rpart)",0.917322834645669,0.948818897637795,0.956692913385827,0.956940673627143,0.967554423344141,0.984189723320158,0,"00:00:01",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"CART 2 (rpart1SE)",0.917322834645669,0.949756465718465,0.956692913385827,0.957208356395581,0.968472814415984,0.984251968503937,0,"00:00:02",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"CART 3 (rpart2)",0.929133858267717,0.948818897637795,0.960707117492666,0.958652416181063,0.968503937007874,0.976377952755906,0,"00:00:01",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Decision Trees 1 (C5.0)",0.960474308300395,0.97244094488189,0.976377952755906,0.977676676139733,0.984236407207992,1,0,"00:00:59",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Decision Trees 2 (C5.0Rules)",0.929133858267717,0.964461890386231,0.968503937007874,0.968756937235903,0.979295512671472,0.988142292490119,0,"00:00:05",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Decision Trees 3 (C5.0Tree)",0.928853754940711,0.957677165354331,0.966542664496629,0.965464126330872,0.972549019607843,0.992156862745098,0,"00:00:04",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Random Forest 1 (rf)",0.956692913385827,0.973401854906477,0.980314960629921,0.978467737161778,0.984251968503937,0.992156862745098,0,"00:02:01",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Random Forest 2 (cforest)",0.956521739130435,0.969367588932806,0.976331268868071,0.974657318904656,0.980372857804539,0.996062992125984,0,"00:19:47",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Random Forest 3 (parRF)",0.960629921259842,0.973425196850394,0.980314960629921,0.979132232976807,0.984251968503937,0.99604743083004,0,"00:01:48",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"k-NN 1 (knn)",0.948818897637795,0.968503937007874,0.97244094488189,0.971379538380767,0.976377952755906,0.992125984251969,0,"00:00:04",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"k-NN 2 (kknn)",0.952755905511811,0.968503937007874,0.976284584980237,0.975449327843552,0.980314960629921,0.99604743083004,0,"00:00:43",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Naive Bayes 1 (nb)",0.886274509803922,0.909448818897638,0.920948616600791,0.920316624569801,0.929133858267717,0.956692913385827,0,"00:00:23",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Naive Bayes 2 (naive_bayes)",0.877952755905512,0.909537594565385,0.921414234985333,0.921632894586154,0.937007874015748,0.956692913385827,0,"00:00:03",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.956521739130435,0.972332015810277,0.976331268868071,0.976423537472836,0.98029550900999,0.992125984251969,0,"00:00:40",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"RNA 2 (mlp)",0.956521739130435,0.968379446640316,0.970300834431269,0.972603272252365,0.979272353801625,0.99604743083004,0,"00:00:36",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"RNA 3 (mlpML)",0.952569169960474,0.968379446640316,0.974315710536183,0.973788495476274,0.980237154150198,0.992094861660079,0,"00:00:34",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"SVM 1 (svmRadial)",0.952569169960474,0.976214003387916,0.980237154150198,0.979719955130773,0.984236407207992,0.99604743083004,0,"00:00:20",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"SVM 2 (svmRadialWeights)",0.960474308300395,0.976214003387916,0.98225234197504,0.981431689451203,0.988142292490119,1,0,"00:00:56",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"SVM 3 (svmPoly)",0.956521739130435,0.969460956708475,0.976284584980237,0.976168381620282,0.984189723320158,0.992094861660079,0,"00:03:55",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"CART 1 (rpart)",0.932806324110672,0.949756465718465,0.956521739130435,0.957727706632191,0.967297195558065,0.980237154150198,0,"00:00:02",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"CART 2 (rpart1SE)",0.924603174603175,0.945702748124864,0.962528399365099,0.958641545794918,0.968379446640316,0.976284584980237,0,"00:00:02",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"CART 3 (rpart2)",0.936758893280632,0.948463674007152,0.952662537736143,0.955875253735576,0.964531916217983,0.976284584980237,0,"00:00:01",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Decision Trees 1 (C5.0)",0.948616600790514,0.976214003387916,0.980237154150198,0.977347882568697,0.984189723320158,0.992094861660079,0,"00:01:00",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Decision Trees 2 (C5.0Rules)",0.948616600790514,0.964426877470356,0.970363079615048,0.970231636065255,0.976284584980237,0.988142292490119,0,"00:00:04",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Decision Trees 3 (C5.0Tree)",0.932806324110672,0.964321005081875,0.970363079615048,0.968921922473788,0.976284584980237,0.988142292490119,0,"00:00:04",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Random Forest 1 (rf)",0.952569169960474,0.968379446640316,0.978268341457318,0.977483813370496,0.984189723320158,1,0,"00:01:43",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
