"Analysis","Start_datetime_analysis","End_datetime_analysis","Runtime_analysis","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"Analysis Training 1",2021-11-04 08:10:55,2021-11-04 08:46:02,00:35:07,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Analysis Training 2",2021-11-04 08:46:02,2021-11-04 09:21:36,00:35:34,1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Analysis Training 3",2021-11-04 09:21:36,2021-11-04 09:58:32,00:36:56,123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Analysis Training 4",2021-11-04 09:58:32,2021-11-04 10:38:26,00:36:48,1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Analysis Training 5",2021-11-04 10:43:01,2021-11-04 11:00:36,00:17:34,123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Analysis Training 6",2021-11-04 11:00:36,2021-11-04 11:07:00,00:06:24,123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Analysis Training 7",2021-11-04 11:07:00,2021-11-04 11:09:54,00:02:54,123,500,250,250,"createDP",400,200,200,100,50,50,"unix"

