"Technique","Test_data_accuracy","Test_data_error_rate","Test_data_sensitivity","Test_data_specificity","Test_data_precision","Training_data_accuracy","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"CART 3 (rpart2)",0.962323390894819,0.0376766091051806,0.981366459627329,0.942857142857143,0.946107784431138,0.958908714309262,"00:00:01",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Naive Bayes 1 (nb)",0.929356357927786,0.0706436420722135,0.894409937888199,0.965079365079365,0.963210702341137,0.921636874606748,"00:00:25",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.9875,0.0125,0.995,0.98,0.980295566502463,0.972708333333333,"00:00:42",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"k-NN 2 (kknn)",0.98,0.02,0.99,0.97,0.970588235294118,0.970833333333333,"00:00:25",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Decision Trees 1 (C5.0)",0.9775,0.0225,0.98,0.975,0.975124378109453,0.972708333333333,"00:00:45",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"RNA 1 (nnet)",0.975,0.025,0.965,0.985,0.98469387755102,0.967916666666667,"00:00:36",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Random Forest 1 (rf)",0.975,0.025,0.985,0.965,0.965686274509804,0.972708333333333,"00:00:58",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"CART 3 (rpart2)",0.96,0.04,0.985,0.935,0.938095238095238,0.95625,"00:00:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Naive Bayes 2 (naive_bayes)",0.8975,0.1025,0.845,0.95,0.94413407821229,0.913958333333333,"00:00:03",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.985,0.015,1,0.97,0.970873786407767,0.970833333333333,"00:00:19",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Random Forest 3 (parRF)",0.985,0.015,0.99,0.98,0.98019801980198,0.96875,"00:00:26",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"CART 2 (rpart1SE)",0.97,0.03,0.98,0.96,0.96078431372549,0.94625,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Decision Trees 1 (C5.0)",0.97,0.03,0.99,0.95,0.951923076923077,0.96875,"00:00:21",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"SVM 3 (svmPoly)",0.965,0.035,1,0.93,0.934579439252336,0.971666666666667,"00:00:43",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"k-NN 2 (kknn)",0.96,0.04,0.96,0.96,0.96,0.954166666666667,"00:00:12",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Naive Bayes 1 (nb)",0.925,0.075,0.86,0.99,0.988505747126437,0.902083333333333,"00:00:09",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Decision Trees 1 (C5.0)",0.97,0.03,0.98,0.96,0.96078431372549,0.9575,"00:00:11",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"SVM 2 (svmRadialWeights)",0.96,0.04,0.94,0.98,0.979166666666667,0.966666666666667,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"Random Forest 1 (rf)",0.96,0.04,0.96,0.96,0.96,0.966666666666667,"00:00:12",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"CART 3 (rpart2)",0.95,0.05,0.96,0.94,0.941176470588235,0.94,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"k-NN 2 (kknn)",0.95,0.05,0.94,0.96,0.959183673469388,0.958333333333333,"00:00:07",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"RNA 2 (mlp)",0.93,0.07,0.9,0.96,0.957446808510638,0.968333333333333,"00:00:08",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"Naive Bayes 1 (nb)",0.9,0.1,0.9,0.9,0.9,0.893333333333333,"00:00:05",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
