"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"CART 3 (rpart2)",0.924603174603175,0.945866141732283,0.954724409448819,0.956619079564988,0.968472814415984,0.980314960629921,0,"00:00:01",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)",0.964285714285714,0.97244094488189,0.98027605739006,0.978965759220809,0.984189723320158,0.992125984251969,0,"00:01:08",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 2 (C5.0Rules)",0.940711462450593,0.960629921259842,0.97244094488189,0.969889847431785,0.980314960629921,0.988188976377953,0,"00:00:06",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 3 (C5.0Tree)",0.940944881889764,0.960513211540257,0.972277119016249,0.96819112614217,0.97244094488189,0.984251968503937,0,"00:00:06",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 1 (rf)",0.964566929133858,0.976377952755906,0.984220845912048,0.981732047163406,0.988142292490119,0.996062992125984,0,"00:01:40",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 2 (cforest)",0.952755905511811,0.969460956708475,0.976331268868071,0.975684944026265,0.984189723320158,0.992094861660079,0,"00:17:33",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 3 (parRF)",0.964566929133858,0.980237154150198,0.982283464566929,0.981997124371311,0.988142292490119,0.992125984251969,0,"00:01:40",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 1 (knn)",0.948616600790514,0.968379446640316,0.97244094488189,0.972918157957528,0.98029550900999,0.996062992125984,0,"00:00:03",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 2 (kknn)",0.952755905511811,0.972332015810277,0.976377952755906,0.9760848652153,0.983173978252718,0.992094861660079,0,"00:00:42",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 1 (nb)",0.893280632411067,0.905511811023622,0.921259842519685,0.920995819198489,0.933004730633967,0.960629921259842,0,"00:00:24",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 2 (naive_bayes)",0.881422924901186,0.908909823772029,0.91715944103825,0.919678012086434,0.937007874015748,0.948818897637795,0,"00:00:03",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.960629921259842,0.969488188976378,0.976377952755906,0.975712860933072,0.983221032647599,0.992125984251969,0,"00:00:58",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"RNA 2 (mlp)",0.952755905511811,0.968410569232206,0.976284584980237,0.973606882608635,0.980314960629921,0.996062992125984,0,"00:00:33",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
